epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6089,2.30286,3.10774,1.16479,0.01095,0.54649,0.01599,0.00743,1.7861,3.65753,0.99365,0.000656566,0.000656566,0.000656566
2,22.7015,1.89618,2.11377,1.05545,0.63072,0.16476,0.31088,0.14289,1.86101,2.8201,1.05953,0.00131013,0.00131013,0.00131013
3,31.3552,1.9097,2.01301,1.06091,0.47438,0.48613,0.43512,0.2039,1.84753,2.20296,1.03482,0.0019505,0.0019505,0.0019505
4,39.7711,1.86662,1.78886,1.04273,0.60715,0.42609,0.46395,0.22694,1.82988,1.88973,1.02875,0.0019406,0.0019406,0.0019406
5,48.3017,1.77835,1.6336,1.0344,0.68593,0.44891,0.47962,0.2318,1.88009,1.6423,1.04595,0.0019208,0.0019208,0.0019208
6,56.9035,1.72396,1.52057,1.03136,0.60264,0.48987,0.50721,0.25067,1.70346,2.09451,1.03086,0.001901,0.001901,0.001901
7,65.6489,1.80636,1.52286,1.05173,0.67759,0.48777,0.55813,0.27399,1.85385,1.48164,1.03302,0.0018812,0.0018812,0.0018812
8,74.257,1.70984,1.38465,1.02674,0.58801,0.49266,0.53665,0.28063,1.69106,1.867,1.01102,0.0018614,0.0018614,0.0018614
9,82.92,1.69733,1.28428,0.99706,0.66413,0.51288,0.58673,0.29369,1.68558,1.67561,1.00379,0.0018416,0.0018416,0.0018416
10,91.4391,1.68116,1.2841,1.001,0.72358,0.54232,0.60974,0.29538,1.7694,1.37045,1.02515,0.0018218,0.0018218,0.0018218
11,99.9794,1.64108,1.25618,1.00736,0.59782,0.50922,0.52979,0.24435,1.78097,1.42559,1.01336,0.001802,0.001802,0.001802
12,108.28,1.66622,1.2707,0.99948,0.67425,0.5155,0.57614,0.29763,1.80211,1.83728,1.02367,0.0017822,0.0017822,0.0017822
13,117.232,1.64032,1.19385,0.99597,0.72772,0.5155,0.60077,0.32302,1.6789,1.42709,1.00874,0.0017624,0.0017624,0.0017624
14,125.75,1.60181,1.1309,0.99098,0.73018,0.52855,0.6118,0.31897,1.71268,1.77493,1.00312,0.0017426,0.0017426,0.0017426
15,134.454,1.59135,1.14512,0.98679,0.64722,0.55954,0.5972,0.30224,1.71041,1.31421,0.99832,0.0017228,0.0017228,0.0017228
16,142.924,1.60965,1.10124,0.9954,0.7404,0.57586,0.64376,0.32597,1.7076,1.41283,1.03787,0.001703,0.001703,0.001703
