epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.579,1.39698,3.78176,1.01504,0.01566,0.18096,0.04497,0.03021,1.37272,3.84764,0.88775,0.0001625,0.0001625,0.0001625
2,154.557,1.54414,2.66254,0.96619,0.01195,0.13725,0.05053,0.03593,1.50905,3.60493,0.9239,0.000334159,0.000334159,0.000334159
3,158.492,1.44441,1.66892,0.94739,0.01408,0.16499,0.06338,0.04358,1.43919,3.28718,0.91548,0.000502353,0.000502353,0.000502353
4,162.404,1.33958,1.3141,0.92303,0.04185,0.32144,0.14421,0.09087,1.36946,3.01737,0.89458,0.000667081,0.000667081,0.000667081
5,165.953,1.30653,1.22232,0.92248,0.04014,0.44102,0.19022,0.10759,1.39144,2.70494,0.90808,0.000828345,0.000828345,0.000828345
6,169.506,1.29233,1.17131,0.91852,0.6086,0.16311,0.22361,0.13296,1.31826,2.45775,0.9049,0.000986144,0.000986144,0.000986144
7,173.035,1.23409,1.11097,0.90537,0.73637,0.10097,0.27449,0.16978,1.28451,2.06305,0.90813,0.00114048,0.00114048,0.00114048
8,176.656,1.19491,1.04767,0.90502,0.69808,0.20569,0.31532,0.18559,1.31764,1.76689,0.91148,0.00116337,0.00116337,0.00116337
9,180.27,1.17621,0.99686,0.89482,0.58168,0.26116,0.32745,0.19432,1.26625,1.45703,0.91916,0.001151,0.001151,0.001151
10,183.996,1.17958,0.98372,0.89946,0.52534,0.34846,0.35233,0.20911,1.20354,1.16463,0.9001,0.00113863,0.00113863,0.00113863
11,187.521,1.21079,1.00533,0.89598,0.50074,0.31873,0.33249,0.19647,1.24925,1.18132,0.9072,0.00112625,0.00112625,0.00112625
12,190.952,1.16502,0.95426,0.8976,0.48388,0.31154,0.3159,0.17863,1.30288,1.15948,0.91542,0.00111388,0.00111388,0.00111388
13,194.388,1.17072,0.93391,0.89413,0.49923,0.30784,0.3282,0.19593,1.17229,1.13329,0.89595,0.0011015,0.0011015,0.0011015
14,198.038,1.12484,0.9156,0.89312,0.49083,0.3363,0.34155,0.20528,1.20572,1.0306,0.9083,0.00108913,0.00108913,0.00108913
15,201.656,1.1514,0.92094,0.89609,0.5681,0.33477,0.3505,0.21055,1.18147,1.00999,0.90533,0.00107675,0.00107675,0.00107675
16,205.379,1.11365,0.87464,0.8848,0.47667,0.34976,0.36212,0.21531,1.20623,1.02074,0.90745,0.00106437,0.00106437,0.00106437
17,208.931,1.09082,0.86502,0.88781,0.52301,0.35552,0.37629,0.227,1.17449,1.02136,0.9059,0.001052,0.001052,0.001052
18,212.357,1.12504,0.8687,0.89455,0.47068,0.35559,0.34897,0.21356,1.159,1.09449,0.90403,0.00103962,0.00103962,0.00103962
19,215.753,1.10256,0.85363,0.88711,0.40826,0.37272,0.34082,0.20444,1.18817,1.03182,0.90768,0.00102725,0.00102725,0.00102725
20,219.339,1.10292,0.84361,0.8841,0.57579,0.33831,0.36948,0.21703,1.13315,0.96789,0.89365,0.00101488,0.00101488,0.00101488
21,222.974,1.09449,0.83109,0.88535,0.46456,0.34187,0.33785,0.20763,1.13391,0.99212,0.90377,0.0010025,0.0010025,0.0010025
22,226.568,1.07871,0.81123,0.87819,0.55666,0.37387,0.38119,0.23237,1.12052,1.00418,0.89249,0.000990125,0.000990125,0.000990125
23,230.057,1.06601,0.78825,0.86976,0.53899,0.33665,0.36349,0.21418,1.17369,1.00856,0.90433,0.00097775,0.00097775,0.00097775
24,233.542,1.07032,0.78007,0.87698,0.48309,0.39463,0.36892,0.22116,1.13549,0.94224,0.89377,0.000965375,0.000965375,0.000965375
25,236.933,1.08673,0.78083,0.87163,0.47285,0.40023,0.38561,0.2301,1.14595,0.95955,0.8963,0.000953,0.000953,0.000953
26,240.515,1.08789,0.78179,0.87392,0.57962,0.38492,0.40226,0.2524,1.09734,0.90885,0.87772,0.000940625,0.000940625,0.000940625
27,244.185,1.04033,0.75072,0.86984,0.61282,0.33983,0.41047,0.2572,1.09243,0.86729,0.88239,0.00092825,0.00092825,0.00092825
28,247.886,1.07491,0.75834,0.87298,0.53787,0.34833,0.3675,0.21648,1.11634,0.92861,0.88799,0.000915875,0.000915875,0.000915875
29,251.301,1.0447,0.7613,0.87497,0.4636,0.32156,0.34789,0.21563,1.11994,0.94813,0.89426,0.0009035,0.0009035,0.0009035
