epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.522,2.30242,3.29298,1.19909,0.00641,0.31974,0.00536,0.00216,1.86135,4.24033,1.00004,0.00064,0.00064,0.00064
2,157.264,1.95204,2.12465,1.08353,0.00886,0.44209,0.02942,0.01265,1.74882,3.93135,0.98574,0.00128713,0.00128713,0.00128713
3,162.836,1.85843,1.89642,1.05467,0.46714,0.25612,0.25569,0.12134,1.84036,3.58657,0.98947,0.00192119,0.00192119,0.00192119
4,168.572,1.83503,1.76553,1.03057,0.44189,0.37715,0.30915,0.15498,1.90486,3.72976,1.02768,0.0019406,0.0019406,0.0019406
5,174.416,1.80706,1.63949,1.03981,0.46637,0.41599,0.38538,0.18641,1.86421,2.54087,1.01269,0.0019208,0.0019208,0.0019208
6,179.894,1.73118,1.48657,1.02412,0.58586,0.51387,0.50342,0.23778,1.76755,2.67659,0.98972,0.001901,0.001901,0.001901
7,185.292,1.7413,1.45956,1.02513,0.59007,0.39804,0.43119,0.20489,1.76004,1.81551,0.9727,0.0018812,0.0018812,0.0018812
8,191.026,1.67519,1.35269,1.00981,0.61348,0.53181,0.55669,0.28292,1.69152,2.1634,0.99681,0.0018614,0.0018614,0.0018614
9,196.79,1.64458,1.26077,0.99414,0.64047,0.50897,0.53929,0.27749,1.65382,2.93549,0.96707,0.0018416,0.0018416,0.0018416
10,202.155,1.66422,1.2697,0.99955,0.64584,0.52039,0.55256,0.29402,1.76185,1.50876,1.00501,0.0018218,0.0018218,0.0018218
11,207.66,1.61151,1.21374,0.98314,0.67933,0.52855,0.59409,0.29914,1.69906,1.18573,0.97913,0.001802,0.001802,0.001802
12,213.445,1.61264,1.17186,0.98689,0.65485,0.44535,0.51818,0.24707,1.72355,1.60342,1.0062,0.0017822,0.0017822,0.0017822
13,219.079,1.58079,1.14245,0.98736,0.75333,0.54802,0.62017,0.31905,1.61594,1.79617,0.96301,0.0017624,0.0017624,0.0017624
