epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.677,2.51049,3.99066,1.41114,0.00373,0.18597,0.00416,0.0012,2.37467,3.75354,1.06971,0.00016,0.00016,0.00016
2,157.588,2.1391,3.16264,1.09801,0.00899,0.44861,0.01178,0.00407,2.13988,3.64021,1.05472,0.000336634,0.000336634,0.000336634
3,161.399,1.95232,2.34746,1.0196,0.0083,0.41436,0.011,0.00421,1.80354,3.50647,0.97457,0.000509704,0.000509704,0.000509704
4,165.045,1.81846,1.91629,1.02412,0.00922,0.46003,0.01143,0.00454,1.68728,3.40913,0.98567,0.00067921,0.00067921,0.00067921
5,168.735,1.75766,1.7651,0.9939,0.00108,0.05383,0.00067,0.00027,1.78133,4.39307,1.10183,0.000845152,0.000845152,0.000845152
6,172.432,1.70249,1.65399,0.99575,0.00771,0.38499,0.00813,0.00341,1.65369,3.56587,0.99354,0.00100753,0.00100753,0.00100753
7,176.151,1.71285,1.57745,1.00524,0.00673,0.33605,0.00644,0.00319,1.6862,4.68792,1.00672,0.00116634,0.00116634,0.00116634
8,179.887,1.68864,1.52376,0.98899,0.00807,0.40294,0.02354,0.01079,1.71747,3.23369,1.00893,0.00132159,0.00132159,0.00132159
9,183.46,1.66343,1.41952,0.97995,0.23466,0.32626,0.15044,0.06075,1.69899,2.88043,0.97084,0.00147328,0.00147328,0.00147328
10,186.878,1.71915,1.44521,0.98071,0.8561,0.08735,0.23766,0.11091,1.71092,2.86504,0.96841,0.0016214,0.0016214,0.0016214
11,190.266,1.6358,1.32166,0.98819,0.47206,0.34584,0.32876,0.15537,1.78077,1.89954,0.99962,0.00176596,0.00176596,0.00176596
12,193.722,1.70588,1.36369,0.98624,0.62478,0.39478,0.44325,0.18833,1.8079,1.90371,1.01028,0.0017822,0.0017822,0.0017822
13,197.168,1.67301,1.29992,1.00222,0.5656,0.11895,0.1693,0.06788,1.93081,2.66164,1.07413,0.0017624,0.0017624,0.0017624
14,200.656,1.67428,1.26193,0.98504,0.47845,0.28548,0.30112,0.13497,1.94657,1.92734,1.05184,0.0017426,0.0017426,0.0017426
15,204.097,1.58122,1.1647,0.98022,0.46158,0.21956,0.22071,0.09724,1.95448,2.31914,1.02683,0.0017228,0.0017228,0.0017228
16,207.375,1.55407,1.12292,0.96796,0.62046,0.39641,0.42555,0.20664,1.84564,1.46652,1.07016,0.001703,0.001703,0.001703
17,210.674,1.57961,1.13293,0.97299,0.5901,0.40294,0.44407,0.20219,1.91522,1.34131,1.07445,0.0016832,0.0016832,0.0016832
18,213.903,1.56954,1.06841,0.96689,0.61849,0.52363,0.53964,0.26653,1.64489,1.41123,1.0027,0.0016634,0.0016634,0.0016634
19,217.237,1.58833,1.06113,0.96556,0.48153,0.34258,0.34699,0.15765,1.81685,1.54654,1.01731,0.0016436,0.0016436,0.0016436
20,220.647,1.56929,1.04496,0.96032,0.66832,0.53018,0.5506,0.25128,1.68188,1.31032,0.98338,0.0016238,0.0016238,0.0016238
21,224.015,1.57408,1.04284,0.95092,0.63842,0.4845,0.51576,0.22257,1.80586,1.55455,1.06489,0.001604,0.001604,0.001604
22,227.315,1.60139,1.00697,0.96228,0.68066,0.49755,0.55414,0.25786,1.6702,1.20728,0.96651,0.0015842,0.0015842,0.0015842
23,230.532,1.53662,0.97428,0.9551,0.58476,0.44338,0.50174,0.25279,1.70518,1.29944,1.00072,0.0015644,0.0015644,0.0015644
24,233.707,1.52693,0.94987,0.9571,0.63665,0.41272,0.45242,0.25062,1.62232,1.23374,0.99408,0.0015446,0.0015446,0.0015446
25,237.039,1.54896,0.94332,0.96216,0.67288,0.54697,0.601,0.31261,1.58229,1.02141,0.98919,0.0015248,0.0015248,0.0015248
26,240.417,1.49183,0.94705,0.95683,0.55593,0.30506,0.35358,0.18695,1.65735,1.70288,0.99733,0.001505,0.001505,0.001505
27,243.804,1.46442,0.91585,0.94515,0.66904,0.49266,0.54495,0.2763,1.65072,1.15357,0.99965,0.0014852,0.0014852,0.0014852
28,247.145,1.50478,0.94828,0.94308,0.68198,0.56607,0.63517,0.29733,1.70821,1.27828,1.00755,0.0014654,0.0014654,0.0014654
29,250.376,1.48781,0.92366,0.94213,0.70706,0.55791,0.63809,0.33744,1.55311,0.99525,0.97502,0.0014456,0.0014456,0.0014456
30,253.644,1.44146,0.86562,0.93861,0.70321,0.52567,0.59269,0.31079,1.56906,0.98506,0.97933,0.0014258,0.0014258,0.0014258
31,256.871,1.45517,0.86412,0.92591,0.67018,0.51387,0.55788,0.28887,1.61349,1.02418,1.00116,0.001406,0.001406,0.001406
32,260.183,1.45889,0.88107,0.9434,0.72608,0.53018,0.62076,0.32904,1.63365,0.98972,0.98666,0.0013862,0.0013862,0.0013862
33,263.584,1.46549,0.86142,0.93256,0.78446,0.56607,0.65678,0.32452,1.6354,0.95592,0.98407,0.0013664,0.0013664,0.0013664
34,266.954,1.42453,0.85219,0.93677,0.73329,0.45748,0.55366,0.28889,1.56127,1.23615,0.97654,0.0013466,0.0013466,0.0013466
35,270.236,1.39399,0.83792,0.92161,0.76859,0.54323,0.63259,0.32302,1.57523,0.99121,0.97935,0.0013268,0.0013268,0.0013268
36,273.466,1.45284,0.83586,0.92596,0.8093,0.58848,0.6621,0.33844,1.57816,1.067,0.96949,0.001307,0.001307,0.001307
37,276.679,1.40421,0.79605,0.91654,0.81128,0.58564,0.68667,0.34631,1.57006,0.87351,0.96838,0.0012872,0.0012872,0.0012872
38,280.018,1.33847,0.75677,0.9152,0.76614,0.60848,0.67664,0.33973,1.58644,0.85207,0.98038,0.0012674,0.0012674,0.0012674
39,283.419,1.41501,0.80678,0.9179,0.74888,0.61827,0.67665,0.34131,1.57595,0.8944,0.96373,0.0012476,0.0012476,0.0012476
40,286.774,1.33243,0.7561,0.90478,0.78748,0.61053,0.69323,0.34125,1.59594,0.8443,0.98081,0.0012278,0.0012278,0.0012278
41,290.005,1.38137,0.7719,0.9058,0.77134,0.60533,0.69123,0.3651,1.5415,0.84743,0.97023,0.001208,0.001208,0.001208
42,293.244,1.37582,0.77399,0.91158,0.74265,0.59054,0.6566,0.33187,1.63245,0.93087,0.97774,0.0011882,0.0011882,0.0011882
43,296.509,1.386,0.80395,0.91247,0.80194,0.59543,0.69801,0.34455,1.58996,0.94132,0.99306,0.0011684,0.0011684,0.0011684
44,299.767,1.3413,0.76054,0.90948,0.75993,0.61011,0.69139,0.36627,1.52328,0.82152,0.96537,0.0011486,0.0011486,0.0011486
45,303.225,1.34332,0.75385,0.91105,0.78835,0.57259,0.65567,0.3353,1.56771,0.97261,0.97748,0.0011288,0.0011288,0.0011288
46,306.597,1.34737,0.76352,0.90755,0.77464,0.62969,0.69608,0.36594,1.57759,0.86207,0.98389,0.001109,0.001109,0.001109
47,309.946,1.34986,0.74475,0.90184,0.76929,0.63099,0.70364,0.38924,1.53375,0.8571,0.97172,0.0010892,0.0010892,0.0010892
48,313.194,1.29636,0.73254,0.90099,0.82064,0.57474,0.67502,0.35631,1.56912,0.90872,0.98838,0.0010694,0.0010694,0.0010694
49,316.372,1.38201,0.74766,0.91096,0.72362,0.49545,0.55716,0.304,1.58839,1.0699,1.00045,0.0010496,0.0010496,0.0010496
50,319.557,1.29397,0.70526,0.89679,0.74592,0.55554,0.66768,0.36661,1.52134,0.89224,0.96904,0.0010298,0.0010298,0.0010298
51,322.797,1.32739,0.71952,0.90069,0.81633,0.62806,0.71978,0.37942,1.53865,0.81167,0.98373,0.00101,0.00101,0.00101
52,326.141,1.27298,0.70662,0.89452,0.74573,0.66981,0.71717,0.36732,1.57129,0.82116,0.98067,0.0009902,0.0009902,0.0009902
53,329.528,1.28887,0.70363,0.90031,0.74542,0.64111,0.70536,0.36973,1.54787,0.82504,0.98624,0.0009704,0.0009704,0.0009704
54,332.778,1.30287,0.69949,0.90249,0.78226,0.63458,0.70561,0.37678,1.53132,0.8347,0.98577,0.0009506,0.0009506,0.0009506
55,335.933,1.29085,0.68752,0.90268,0.77476,0.61827,0.71061,0.37984,1.53861,0.80296,0.97545,0.0009308,0.0009308,0.0009308
56,339.089,1.24686,0.70198,0.8843,0.67305,0.63785,0.66968,0.36179,1.51007,0.99542,0.97337,0.000911,0.000911,0.000911
57,342.4,1.23383,0.67969,0.8816,0.71314,0.63267,0.68563,0.36826,1.53674,0.84188,0.98598,0.0008912,0.0008912,0.0008912
58,345.702,1.25563,0.68394,0.8945,0.76822,0.6248,0.69817,0.36564,1.60155,0.87086,1.00591,0.0008714,0.0008714,0.0008714
59,348.952,1.24113,0.68916,0.89047,0.77494,0.61175,0.71095,0.37801,1.53585,0.80323,0.97987,0.0008516,0.0008516,0.0008516
60,352.279,1.22275,0.67343,0.88084,0.75442,0.63132,0.71412,0.37864,1.52908,0.83343,0.98338,0.0008318,0.0008318,0.0008318
61,355.443,1.19474,0.63987,0.88177,0.77386,0.66558,0.72822,0.38803,1.54239,0.78485,0.97858,0.000812,0.000812,0.000812
62,358.68,1.19774,0.64739,0.87017,0.743,0.6509,0.70829,0.38078,1.52153,0.83063,0.98091,0.0007922,0.0007922,0.0007922
63,361.949,1.22096,0.65683,0.88447,0.84163,0.63948,0.72906,0.39218,1.53613,0.83776,0.98073,0.0007724,0.0007724,0.0007724
64,365.293,1.18217,0.63388,0.87775,0.84525,0.62806,0.73338,0.39798,1.53331,0.77754,0.98285,0.0007526,0.0007526,0.0007526
65,368.754,1.18606,0.64102,0.87171,0.78845,0.64448,0.73342,0.37848,1.57033,0.81466,0.98652,0.0007328,0.0007328,0.0007328
66,372.121,1.19564,0.65702,0.87836,0.79397,0.6199,0.71621,0.37425,1.56615,0.77294,0.98165,0.000713,0.000713,0.000713
67,375.388,1.1976,0.63426,0.87594,0.78366,0.65594,0.73364,0.38674,1.54845,0.74426,0.98268,0.0006932,0.0006932,0.0006932
68,378.57,1.19339,0.63808,0.8779,0.79104,0.67863,0.7581,0.40056,1.51555,0.72829,0.97132,0.0006734,0.0006734,0.0006734
69,381.844,1.17289,0.63104,0.86929,0.78793,0.69821,0.75335,0.40229,1.52588,0.74701,0.97676,0.0006536,0.0006536,0.0006536
70,385.137,1.15289,0.62593,0.86732,0.80427,0.65691,0.7391,0.39632,1.49942,0.78694,0.98202,0.0006338,0.0006338,0.0006338
71,388.569,1.13256,0.59931,0.86954,0.83784,0.64763,0.75599,0.40067,1.50718,0.76225,0.98331,0.000614,0.000614,0.000614
72,391.862,1.10465,0.59463,0.86464,0.84026,0.62806,0.73778,0.38831,1.49725,0.78699,0.97326,0.0005942,0.0005942,0.0005942
73,395.101,1.15815,0.63575,0.86704,0.8154,0.677,0.75333,0.40064,1.49253,0.72432,0.97912,0.0005744,0.0005744,0.0005744
74,398.341,1.12742,0.60278,0.86332,0.84687,0.65742,0.75378,0.39398,1.51925,0.76443,0.97856,0.0005546,0.0005546,0.0005546
75,401.556,1.1097,0.60608,0.86641,0.82916,0.57007,0.6857,0.36295,1.54024,0.93857,0.99177,0.0005348,0.0005348,0.0005348
76,404.852,1.13514,0.58675,0.86837,0.79399,0.66648,0.74106,0.40005,1.50471,0.76938,0.98604,0.000515,0.000515,0.000515
77,408.215,1.11204,0.59444,0.85867,0.7959,0.66069,0.74571,0.40676,1.50226,0.71755,0.98184,0.0004952,0.0004952,0.0004952
78,411.592,1.1244,0.61518,0.85635,0.8092,0.64763,0.73958,0.407,1.50298,0.73787,0.99243,0.0004754,0.0004754,0.0004754
79,414.916,1.11523,0.59128,0.86198,0.76681,0.6759,0.74365,0.40954,1.53023,0.76391,0.99415,0.0004556,0.0004556,0.0004556
80,418.166,1.07897,0.56353,0.86042,0.8002,0.677,0.75948,0.41486,1.50783,0.74282,0.99162,0.0004358,0.0004358,0.0004358
81,421.385,1.10302,0.59057,0.8565,0.82085,0.67863,0.75721,0.41436,1.50608,0.71921,0.97653,0.000416,0.000416,0.000416
82,424.73,1.12017,0.59553,0.86299,0.8015,0.67047,0.74333,0.39868,1.52564,0.7164,0.98507,0.0003962,0.0003962,0.0003962
83,428.138,1.04209,0.56559,0.85303,0.81351,0.66892,0.74917,0.39943,1.52283,0.74562,0.97882,0.0003764,0.0003764,0.0003764
84,431.492,1.07905,0.56568,0.86029,0.81802,0.67464,0.75791,0.40687,1.52414,0.7363,0.98338,0.0003566,0.0003566,0.0003566
85,434.846,1.03295,0.54415,0.84868,0.80414,0.69005,0.76501,0.41825,1.49427,0.71973,0.97831,0.0003368,0.0003368,0.0003368
86,438.149,1.06028,0.57529,0.85085,0.84098,0.68352,0.76638,0.4112,1.49925,0.71281,0.98383,0.000317,0.000317,0.000317
87,441.374,1.05741,0.5617,0.84704,0.81398,0.69243,0.77326,0.4212,1.4994,0.68803,0.986,0.0002972,0.0002972,0.0002972
88,444.617,1.0242,0.54474,0.85099,0.82372,0.68189,0.77226,0.41995,1.50188,0.70133,0.98442,0.0002774,0.0002774,0.0002774
89,447.819,1.01602,0.5395,0.84372,0.80799,0.70021,0.76166,0.41718,1.50234,0.72565,0.98085,0.0002576,0.0002576,0.0002576
90,451.349,1.04998,0.54609,0.84592,0.83296,0.68331,0.76438,0.41622,1.50693,0.72007,0.99009,0.0002378,0.0002378,0.0002378
91,460.051,1.06702,0.57608,0.86132,0.82183,0.65464,0.74478,0.40866,1.51301,0.7218,0.9954,0.000218,0.000218,0.000218
92,463.917,1.00556,0.5284,0.84811,0.81459,0.68189,0.76163,0.41675,1.50925,0.71266,0.99898,0.0001982,0.0001982,0.0001982
93,467.5,1.01963,0.53077,0.84875,0.84272,0.677,0.76739,0.41716,1.4962,0.71382,0.98647,0.0001784,0.0001784,0.0001784
94,471.117,0.99022,0.51707,0.84217,0.82918,0.69685,0.77757,0.42236,1.45928,0.69644,0.97527,0.0001586,0.0001586,0.0001586
95,474.742,0.95416,0.4955,0.8438,0.81277,0.69005,0.76028,0.41504,1.48029,0.70409,0.97944,0.0001388,0.0001388,0.0001388
96,478.215,0.97977,0.50383,0.84305,0.80824,0.69331,0.76537,0.418,1.47966,0.71081,0.97488,0.000119,0.000119,0.000119
97,481.695,0.95014,0.4985,0.83641,0.82496,0.68679,0.76695,0.41896,1.48394,0.7078,0.9792,9.92e-05,9.92e-05,9.92e-05
98,485.021,0.95661,0.49771,0.83948,0.81875,0.68533,0.76428,0.41825,1.48168,0.70513,0.97956,7.94e-05,7.94e-05,7.94e-05
99,488.296,0.96929,0.49338,0.83606,0.83244,0.68885,0.77073,0.41928,1.48631,0.6955,0.98307,5.96e-05,5.96e-05,5.96e-05
100,491.576,0.95873,0.49821,0.84476,0.83519,0.68613,0.76917,0.41971,1.48692,0.70044,0.98081,3.98e-05,3.98e-05,3.98e-05
