epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.843,2.4786,3.86599,1.29557,0.00801,0.39967,0.02639,0.00941,2.03296,3.74343,1.01203,0.00032,0.00032,0.00032
2,156.307,1.92489,2.21642,1.03024,0.00928,0.4633,0.01097,0.00466,1.66613,3.52099,0.94743,0.000653466,0.000653466,0.000653466
3,160.507,1.84968,1.82137,1.01831,0.00843,0.42088,0.00824,0.00339,1.71723,7.61078,0.99248,0.0009802,0.0009802,0.0009802
4,164.626,1.7889,1.73501,1.01853,0.01069,0.53344,0.08066,0.03305,1.6523,3.26964,0.98538,0.0013002,0.0013002,0.0013002
5,168.803,1.73136,1.54973,1.00642,0.83223,0.09711,0.3122,0.15489,1.67604,2.65535,0.96247,0.00161347,0.00161347,0.00161347
6,173.007,1.66113,1.45362,0.99741,0.54507,0.25019,0.32701,0.14908,1.70796,2.11431,0.98407,0.001901,0.001901,0.001901
7,176.965,1.69747,1.42087,0.99643,0.64055,0.22384,0.37588,0.17291,1.80944,2.20204,0.97891,0.0018812,0.0018812,0.0018812
8,180.905,1.68091,1.3941,0.99052,0.64327,0.18597,0.22785,0.12593,1.77847,2.20345,1.01935,0.0018614,0.0018614,0.0018614
9,184.909,1.68218,1.32174,0.98629,0.64438,0.49918,0.54485,0.25212,1.66799,1.34477,0.98454,0.0018416,0.0018416,0.0018416
10,189.116,1.6545,1.26127,0.98592,0.69584,0.47471,0.54301,0.26843,1.66906,1.34933,0.97863,0.0018218,0.0018218,0.0018218
11,193.253,1.57854,1.13951,0.98068,0.64942,0.53507,0.56268,0.28234,1.66959,1.20574,0.98978,0.001802,0.001802,0.001802
12,197.389,1.62591,1.13373,0.97418,0.71414,0.51223,0.58358,0.29459,1.69111,1.18285,1.00147,0.0017822,0.0017822,0.0017822
13,201.545,1.61888,1.17736,0.99043,0.64394,0.48613,0.53227,0.26705,1.66785,1.16308,0.98857,0.0017624,0.0017624,0.0017624
14,205.775,1.60464,1.14141,0.96909,0.76836,0.50734,0.59126,0.299,1.61973,1.14342,0.97214,0.0017426,0.0017426,0.0017426
15,210.177,1.56307,1.06819,0.96486,0.53062,0.39478,0.40999,0.17692,1.75211,1.68784,0.98604,0.0017228,0.0017228,0.0017228
16,214.366,1.55533,1.04041,0.96635,0.78439,0.57096,0.65522,0.35376,1.52856,0.99796,0.96237,0.001703,0.001703,0.001703
17,218.465,1.56673,1.01509,0.96681,0.72947,0.53226,0.58437,0.29509,1.6315,1.17644,0.99582,0.0016832,0.0016832,0.0016832
18,222.442,1.54522,1.0397,0.96666,0.59754,0.48124,0.5172,0.28417,1.54594,1.4109,0.95637,0.0016634,0.0016634,0.0016634
19,226.379,1.49842,0.99437,0.94331,0.68524,0.53982,0.61326,0.32713,1.57489,1.3983,0.97439,0.0016436,0.0016436,0.0016436
20,230.486,1.48456,0.96267,0.94824,0.49228,0.47635,0.43751,0.21045,1.85451,1.73689,1.0256,0.0016238,0.0016238,0.0016238
21,234.644,1.48089,0.92414,0.94322,0.61252,0.4633,0.49895,0.21894,1.85836,1.16366,1.0134,0.001604,0.001604,0.001604
22,238.834,1.51755,0.93631,0.96199,0.76149,0.57586,0.6366,0.32122,1.59008,1.14069,0.97969,0.0015842,0.0015842,0.0015842
23,242.811,1.52731,0.93732,0.9482,0.66312,0.57159,0.60884,0.31036,1.66997,1.16679,0.9903,0.0015644,0.0015644,0.0015644
24,246.729,1.50449,0.90239,0.93852,0.78765,0.5416,0.65282,0.34803,1.57181,1.02922,0.97574,0.0015446,0.0015446,0.0015446
25,250.738,1.46654,0.89677,0.94261,0.71024,0.53997,0.60449,0.32748,1.56878,1.12579,0.96475,0.0015248,0.0015248,0.0015248
26,254.911,1.51655,0.92794,0.95335,0.75351,0.5677,0.64401,0.32869,1.59367,1.1231,0.9743,0.001505,0.001505,0.001505
27,259.005,1.45302,0.88692,0.94274,0.78811,0.55302,0.63558,0.32868,1.6092,1.30669,0.95681,0.0014852,0.0014852,0.0014852
28,263.085,1.44798,0.86318,0.92164,0.77671,0.60716,0.67122,0.34427,1.61336,0.96731,0.97646,0.0014654,0.0014654,0.0014654
29,266.998,1.44625,0.88917,0.9326,0.83027,0.57586,0.69507,0.37177,1.59869,0.92134,0.96999,0.0014456,0.0014456,0.0014456
30,270.99,1.4406,0.86995,0.93543,0.7504,0.63268,0.69675,0.35382,1.62248,0.93649,0.97285,0.0014258,0.0014258,0.0014258
31,274.984,1.40719,0.82423,0.92456,0.79351,0.61437,0.69718,0.36683,1.54215,0.90498,0.96209,0.001406,0.001406,0.001406
32,279.199,1.4001,0.81205,0.92401,0.81807,0.56933,0.69352,0.35596,1.55888,0.99787,0.9637,0.0013862,0.0013862,0.0013862
33,283.279,1.40652,0.79306,0.918,0.76828,0.61119,0.6809,0.35096,1.55401,1.00059,0.95951,0.0013664,0.0013664,0.0013664
34,287.232,1.38111,0.80417,0.91684,0.78213,0.62643,0.72008,0.36729,1.55456,0.89179,0.96048,0.0013466,0.0013466,0.0013466
35,291.013,1.35543,0.77346,0.91582,0.76745,0.61501,0.70795,0.37441,1.54298,0.92061,0.96297,0.0013268,0.0013268,0.0013268
36,295.146,1.37009,0.78252,0.91044,0.69777,0.57912,0.6316,0.33301,1.62387,1.13206,0.98744,0.001307,0.001307,0.001307
37,299.314,1.38557,0.8076,0.92476,0.8093,0.56768,0.68873,0.36069,1.55087,0.95302,0.96544,0.0012872,0.0012872,0.0012872
38,303.484,1.39883,0.78273,0.91294,0.78981,0.62525,0.70902,0.37172,1.52604,0.90796,0.96077,0.0012674,0.0012674,0.0012674
39,307.438,1.33084,0.7512,0.91371,0.7671,0.62866,0.70412,0.36823,1.58989,0.96162,0.97008,0.0012476,0.0012476,0.0012476
40,311.285,1.31904,0.73544,0.90467,0.8019,0.58728,0.70644,0.36719,1.57489,0.86855,0.96673,0.0012278,0.0012278,0.0012278
41,315.184,1.35292,0.78744,0.91102,0.73701,0.52039,0.61926,0.32617,1.60245,1.18975,0.97091,0.001208,0.001208,0.001208
42,319.26,1.34714,0.75765,0.90154,0.75687,0.66018,0.71301,0.35652,1.58388,0.91337,0.9807,0.0011882,0.0011882,0.0011882
43,323.367,1.33315,0.76428,0.91685,0.7919,0.57423,0.66653,0.34501,1.61352,0.988,0.97765,0.0011684,0.0011684,0.0011684
44,327.483,1.3034,0.73758,0.90471,0.79128,0.637,0.70351,0.36799,1.52388,0.9736,0.96591,0.0011486,0.0011486,0.0011486
45,331.376,1.32282,0.74055,0.90516,0.72384,0.64763,0.70169,0.38291,1.52543,0.96454,0.96571,0.0011288,0.0011288,0.0011288
46,335.304,1.33377,0.73696,0.89703,0.70982,0.67437,0.70795,0.37884,1.56593,0.9497,0.96902,0.001109,0.001109,0.001109
47,339.35,1.27658,0.71639,0.8946,0.77913,0.66395,0.71826,0.37217,1.50387,0.92425,0.95897,0.0010892,0.0010892,0.0010892
48,343.503,1.29858,0.71334,0.91153,0.81976,0.63132,0.72045,0.37945,1.53118,0.92439,0.96435,0.0010694,0.0010694,0.0010694
49,347.582,1.27356,0.69915,0.8951,0.7881,0.63132,0.71133,0.3824,1.52814,0.99615,0.95397,0.0010496,0.0010496,0.0010496
50,351.667,1.25768,0.6901,0.8985,0.81346,0.62806,0.71461,0.38176,1.51623,1.02288,0.96233,0.0010298,0.0010298,0.0010298
51,355.538,1.32848,0.72704,0.89811,0.78131,0.62316,0.71175,0.37875,1.54878,1.02514,0.9612,0.00101,0.00101,0.00101
52,359.482,1.25793,0.69497,0.88782,0.79379,0.64681,0.7147,0.36609,1.60628,0.94815,0.97414,0.0009902,0.0009902,0.0009902
53,363.57,1.25955,0.69353,0.89418,0.75638,0.68352,0.73665,0.38524,1.51107,0.90506,0.96986,0.0009704,0.0009704,0.0009704
54,367.763,1.28004,0.70114,0.89392,0.73811,0.64274,0.71308,0.36456,1.56795,1.04351,0.96872,0.0009506,0.0009506,0.0009506
55,371.776,1.2013,0.67135,0.89059,0.77285,0.63785,0.7051,0.37468,1.50112,1.0087,0.9597,0.0009308,0.0009308,0.0009308
56,375.633,1.27993,0.69468,0.88789,0.77067,0.65784,0.72956,0.38861,1.53236,0.86547,0.95843,0.000911,0.000911,0.000911
