epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.63,1.41323,3.97468,1.07399,0.00381,0.10882,0.01715,0.01577,1.31467,3.92777,0.92811,3.75e-05,3.75e-05,3.75e-05
2,153.5,1.35434,3.93371,1.02917,0.01027,0.1452,0.018,0.01388,1.3859,3.86784,0.90809,8.66338e-05,8.66338e-05,8.66338e-05
3,156.622,1.35226,3.6864,0.97485,0.01714,0.20027,0.04023,0.02816,1.39419,3.83634,0.89377,0.000134777,0.000134777,0.000134777
4,159.697,1.46118,3.33561,0.97898,0.01548,0.18847,0.04648,0.03163,1.38838,3.81828,0.88834,0.000181931,0.000181931,0.000181931
5,162.86,1.49753,2.93267,0.94746,0.0126,0.17549,0.04375,0.02756,1.38124,3.76604,0.89395,0.000228095,0.000228095,0.000228095
6,165.866,1.54976,2.54447,0.95727,0.01259,0.17434,0.04559,0.03035,1.397,3.67609,0.89615,0.000273269,0.000273269,0.000273269
7,168.844,1.50541,2.14096,0.94646,0.01208,0.196,0.04554,0.03005,1.39074,3.60663,0.89365,0.000317452,0.000317452,0.000317452
8,171.973,1.4439,1.81286,0.93397,0.01123,0.18104,0.05614,0.04215,1.39793,3.53892,0.90479,0.000360646,0.000360646,0.000360646
9,174.966,1.37674,1.58028,0.92485,0.01136,0.15592,0.05639,0.04313,1.41144,3.41598,0.90279,0.00040285,0.00040285,0.00040285
10,177.839,1.32299,1.39903,0.91389,0.01462,0.19793,0.07319,0.05277,1.40714,3.34243,0.9064,0.000444064,0.000444064,0.000444064
11,180.94,1.28913,1.28368,0.90908,0.02394,0.2635,0.0968,0.06724,1.33058,3.2352,0.88998,0.000484288,0.000484288,0.000484288
12,184.09,1.25352,1.21766,0.90167,0.02965,0.29951,0.11172,0.07551,1.28522,3.16591,0.88862,0.000523521,0.000523521,0.000523521
13,187.257,1.21342,1.15945,0.89749,0.03285,0.30304,0.10799,0.07298,1.29107,3.098,0.88801,0.000561765,0.000561765,0.000561765
14,190.066,1.21738,1.13478,0.8984,0.03814,0.37197,0.16976,0.11443,1.25829,2.90725,0.88221,0.000599019,0.000599019,0.000599019
15,192.903,1.19503,1.11212,0.89402,0.03384,0.37506,0.17078,0.11135,1.24265,2.90814,0.89209,0.000635282,0.000635282,0.000635282
16,195.766,1.19707,1.09155,0.89884,0.03296,0.41563,0.13904,0.09075,1.27358,2.89756,0.90483,0.000670556,0.000670556,0.000670556
17,198.702,1.18678,1.0563,0.89426,0.03504,0.43191,0.14869,0.1007,1.20659,2.81346,0.89106,0.00070484,0.00070484,0.00070484
18,201.761,1.19162,1.04166,0.8922,0.03558,0.43594,0.17378,0.11889,1.23611,2.68891,0.89456,0.000738134,0.000738134,0.000738134
19,204.867,1.15311,0.9986,0.88232,0.03864,0.47525,0.2091,0.13765,1.20983,2.61961,0.89083,0.000770438,0.000770438,0.000770438
20,208.041,1.16767,0.99041,0.89153,0.03567,0.48472,0.18277,0.12693,1.21914,2.59239,0.89722,0.000801751,0.000801751,0.000801751
21,211.042,1.14174,0.96045,0.87829,0.16293,0.27751,0.19197,0.1341,1.23372,2.49978,0.8953,0.000832075,0.000832075,0.000832075
22,213.977,1.13432,0.94403,0.88373,0.8352,0.0899,0.21743,0.14851,1.26231,2.46535,0.89968,0.000861409,0.000861409,0.000861409
23,217.057,1.13434,0.94327,0.8887,0.86898,0.08546,0.19253,0.13656,1.25678,2.34813,0.90531,0.000889753,0.000889753,0.000889753
24,219.924,1.13755,0.92598,0.8812,0.64994,0.07187,0.1211,0.08139,1.28704,2.4925,0.9267,0.000917106,0.000917106,0.000917106
25,222.964,1.1155,0.91513,0.88589,0.78202,0.05754,0.20611,0.1388,1.27406,2.40594,0.9211,0.00094347,0.00094347,0.00094347
26,225.973,1.13972,0.9182,0.88529,0.77428,0.09448,0.20365,0.13533,1.28412,2.49248,0.91658,0.000940625,0.000940625,0.000940625
27,229.052,1.13069,0.90989,0.88128,0.73284,0.07255,0.18891,0.12818,1.2375,2.41663,0.91156,0.00092825,0.00092825,0.00092825
28,232.102,1.12357,0.88311,0.88466,0.77786,0.11037,0.22844,0.14853,1.25349,2.21633,0.91362,0.000915875,0.000915875,0.000915875
29,235.003,1.14398,0.89958,0.88575,0.64116,0.1535,0.27505,0.17083,1.22665,1.98483,0.9056,0.0009035,0.0009035,0.0009035
30,238.031,1.0752,0.85731,0.88049,0.65446,0.19493,0.29987,0.18424,1.23616,1.78725,0.9123,0.000891125,0.000891125,0.000891125
31,241.076,1.07887,0.84996,0.86938,0.65589,0.21024,0.30579,0.18538,1.23165,1.69165,0.901,0.00087875,0.00087875,0.00087875
32,244.149,1.08754,0.843,0.875,0.60914,0.21104,0.30234,0.18292,1.24942,1.68042,0.91386,0.000866375,0.000866375,0.000866375
33,247.195,1.08345,0.83131,0.87307,0.6241,0.20439,0.28542,0.1677,1.26801,1.73978,0.92631,0.000854,0.000854,0.000854
34,250.253,1.04891,0.80305,0.86939,0.61619,0.20596,0.27234,0.16488,1.26222,1.61421,0.93078,0.000841625,0.000841625,0.000841625
35,253.143,1.07992,0.82931,0.87618,0.53291,0.25005,0.27343,0.16614,1.24474,1.53534,0.92082,0.00082925,0.00082925,0.00082925
36,255.977,1.0403,0.7979,0.8705,0.5417,0.30432,0.32619,0.19628,1.19723,1.23952,0.90271,0.000816875,0.000816875,0.000816875
37,258.9,1.06163,0.80803,0.87209,0.5643,0.30709,0.34077,0.205,1.20109,1.2065,0.89824,0.0008045,0.0008045,0.0008045
38,262.015,1.06395,0.79725,0.87332,0.62305,0.31262,0.34926,0.20961,1.20063,1.19258,0.91242,0.000792125,0.000792125,0.000792125
39,265.029,1.06624,0.80268,0.87307,0.52169,0.34287,0.35786,0.21448,1.20496,1.14656,0.9077,0.00077975,0.00077975,0.00077975
40,268.12,1.06573,0.78048,0.86479,0.56906,0.3855,0.37962,0.22697,1.19669,1.05514,0.90537,0.000767375,0.000767375,0.000767375
41,271.099,1.03385,0.77331,0.86752,0.52769,0.33639,0.34767,0.20333,1.18663,1.0808,0.91272,0.000755,0.000755,0.000755
42,273.99,1.02823,0.77502,0.86931,0.52764,0.34509,0.35663,0.20306,1.20391,0.99841,0.90922,0.000742625,0.000742625,0.000742625
43,276.917,1.07015,0.75483,0.86888,0.46987,0.36722,0.36505,0.22031,1.13167,1.07941,0.89246,0.00073025,0.00073025,0.00073025
44,279.765,1.05288,0.7814,0.87471,0.5372,0.3237,0.345,0.20294,1.1465,1.10214,0.90142,0.000717875,0.000717875,0.000717875
45,282.564,1.01436,0.76566,0.8623,0.57329,0.35548,0.35925,0.21476,1.13925,1.05435,0.90335,0.0007055,0.0007055,0.0007055
46,285.541,1.02067,0.75032,0.86742,0.63439,0.34616,0.37539,0.22875,1.11228,0.99373,0.89301,0.000693125,0.000693125,0.000693125
47,288.511,1.0283,0.74801,0.86155,0.63665,0.33897,0.37956,0.22647,1.13555,0.99884,0.90277,0.00068075,0.00068075,0.00068075
48,291.438,1.03079,0.74288,0.86247,0.57267,0.35045,0.37495,0.22112,1.15888,0.97418,0.90669,0.000668375,0.000668375,0.000668375
