epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.702,1.40414,3.96905,1.0632,0.00347,0.11198,0.01504,0.01393,1.29993,3.92353,0.92392,7.5e-05,7.5e-05,7.5e-05
2,155.047,1.3848,3.62711,0.98393,0.0133,0.1776,0.03562,0.02573,1.42424,3.85161,0.90912,0.000160891,0.000160891,0.000160891
3,158.352,1.4627,2.98128,0.96101,0.01409,0.17774,0.04013,0.02588,1.47875,3.72917,0.92304,0.00024505,0.00024505,0.00024505
4,161.653,1.5277,2.28262,0.95857,0.01097,0.14087,0.04205,0.02624,1.58014,3.63285,0.94464,0.000327476,0.000327476,0.000327476
5,164.85,1.4886,1.75981,0.95015,0.01,0.17181,0.05602,0.03938,1.38356,3.50931,0.90827,0.00040817,0.00040817,0.00040817
6,167.982,1.3885,1.47466,0.92621,0.0154,0.21564,0.06745,0.04666,1.39985,3.30952,0.90481,0.000487131,0.000487131,0.000487131
7,171.09,1.31157,1.32662,0.91908,0.0222,0.2625,0.08068,0.05429,1.37719,3.19846,0.90267,0.00056436,0.00056436,0.00056436
8,174.162,1.24631,1.22583,0.91403,0.02716,0.29541,0.1302,0.08603,1.36109,3.02856,0.91596,0.000639856,0.000639856,0.000639856
9,177.313,1.25712,1.14823,0.90969,0.03286,0.37895,0.17695,0.11854,1.30288,2.89004,0.90868,0.00071362,0.00071362,0.00071362
10,180.449,1.20467,1.07593,0.89772,0.03153,0.34435,0.15587,0.10732,1.30633,2.88429,0.90891,0.000785651,0.000785651,0.000785651
11,183.521,1.22969,1.07171,0.90046,0.0399,0.41265,0.20431,0.13211,1.27042,2.64607,0.89751,0.00085595,0.00085595,0.00085595
12,186.572,1.18566,1.00652,0.89696,0.6509,0.1258,0.22005,0.14268,1.27714,2.44096,0.89869,0.000924516,0.000924516,0.000924516
13,189.51,1.18421,0.98258,0.89417,0.71399,0.10286,0.25339,0.15358,1.28806,2.3584,0.90926,0.00099135,0.00099135,0.00099135
14,192.448,1.17078,0.99859,0.89572,0.45009,0.13972,0.19429,0.11779,1.31872,2.29005,0.92427,0.00105645,0.00105645,0.00105645
15,195.421,1.17561,0.95406,0.88853,0.71493,0.0851,0.23521,0.14183,1.3211,2.26826,0.92859,0.00107675,0.00107675,0.00107675
16,198.428,1.15442,0.94094,0.8935,0.59314,0.10914,0.25006,0.14743,1.26845,2.00939,0.92128,0.00106437,0.00106437,0.00106437
17,201.45,1.12694,0.92748,0.8947,0.59638,0.23128,0.28166,0.16634,1.26179,1.65364,0.90916,0.001052,0.001052,0.001052
18,204.526,1.15124,0.94107,0.89677,0.53941,0.2459,0.25992,0.14889,1.29151,1.4885,0.92624,0.00103962,0.00103962,0.00103962
19,207.498,1.12148,0.88106,0.88457,0.52157,0.30122,0.32149,0.19001,1.23365,1.33658,0.91226,0.00102725,0.00102725,0.00102725
20,210.444,1.12671,0.88263,0.88808,0.51732,0.25852,0.28901,0.17241,1.24353,1.41854,0.91357,0.00101488,0.00101488,0.00101488
21,213.347,1.09898,0.87649,0.88323,0.47926,0.20636,0.21894,0.12881,1.24921,1.52762,0.93001,0.0010025,0.0010025,0.0010025
